Barcode,Call Number,ID,Lname,Fname,LName2,FName2,TheRest,Author/Editor,Title,Volume/Edition,Holding,Sort1,Sort2,DO NOT INCLUDE,DECIMAL CHECK,Don't Include,Sort3,Nope,Sort4,Sort5,Sort6,Sort7,Sort8,Sort9,Sort10,Sort11,Sort12,Sort13,Sort14,Processing Notes,APA Citation,Chicago Citation,Date of Entry,Notes,Column1,Column2
L0112033576,AM 139 H36 1995,29,,,,,,"Bearman, David",Hands on Hypermedia and interactivity in museums I,,AM 139 H36 1995,AM,139,H36,TRUE,.H36,.H,#NAME?,36,#NAME?,1995,,,,,,,,,,,,,,,
L0112049325,AM 141 C65,7058,,,,,,"Bachmann, Konstanze",NY State Conservation Consultancy Conservation Bulletins,,AM 141 C65,AM,141,C65,TRUE,.C65,.C,#NAME?,65,#NAME?,,,,,,,,,,,,,,Missing section 19,,
L0112033584,AM 141 O32 1997,7356,,,,,,"Ogden, Sherelyn",Preservation Planning: Guidelines for Writing a Long-Range Plan,,AM 141 O32 1997,AM,141,O32,TRUE,.O32,.O,#NAME?,32,#NAME?,1997,,,,,,,,,Not in voyager as of 10/31/2016,,,,,,
L0112033592,AS 36 N3985 A16 no. 38 1997,31,,,,,,"ACLS Occasional Paper, No. 38","Report of the President, 1986-97, Stanley N. Katz",,AS 36 N3985 A16 no. 38 1997,AS,36,N3985,TRUE,.N3985,.N,#NAME?,3985,#NAME?,A16,no,,,38,1997,,,,,,,,,,
,AV 188,5752,,,,,,National Air | Space Museum,Archival Video Disc 2,,AV 188,AV,188,,TRUE,.,.,#NAME?,0,#NAME?,,,,,,,,,,,,,,,,
L0112033600,AZ 108 D826s c.2,6990,,,,,,"Dreyfuss, Henry",Symbol sourcebook,,AZ 108 D826s c.2,AZ,108,D826s,TRUE,.D826s,.D,#NAME?,826,#NAME?,c.2,,,,,,,,,No c. 1,,,,,,
L0112033618,AZ 195 B67 2007,6373,,,,,,"Borgman, Christine L.","Scholarship in the Digital Age: Information, Infrastructure, and the Internet",,AZ 195 B67 2007,AZ,195,B67,TRUE,.B67,.B,#NAME?,67,#NAME?,2007,,,,,,,,,,,,,,,
L0112033626,AZ 505 M18p,6865,,,,,,"Machlup, Fritz",The production and distribution of knowledge in the United States,,AZ 505 M18p,AZ,505,M18p,TRUE,.M18p,.M,#NAME?,18,#NAME?,,,,,,,,,,,,,,,,
L0112033634,B 41 B19d 1960 v. 2,43,,,,,,"Baldwin, James Mark",Dictionary of philosophy and psychology v. 2,,B 41 B19d 1960 v. 2,B,41,B19d,TRUE,.B19d,.B,#NAME?,19,#NAME?,1960,,,,,,,,,,,,,,,
L0112033667,B 53 M47,6774,,,,,,"Meiklejohn, Alex|er",Philosophy,Reading with a purpose #12,B 53 M47,B,53,M47,TRUE,.M47,.M,#NAME?,47,#NAME?,,,,,,,,,,,,,,,,
L0112033675,B 3583 B45 2000,5862,,,,,,"Berlin, Isaiah","Three Critics of the Enlightenment: Vico, Hamann, Herder",,B 3583 B45 2000,B,3583,B45,TRUE,.B45,.B,#NAME?,45,#NAME?,2000,,,,,,,,,,,,,,,
L0112033683,B 5310 M84 1988,5860,,,,,,"Mudimbe, V.Y.","The Invention of Africa: Gnosis, philosophy, and the order of knowledge",,B 5310 M84 1988,B,5310,M84,TRUE,.M84,.M,#NAME?,84,#NAME?,1988,,,,,,,,,,,,,,,
L0112033691,BC 135 W78 1972,6861,,,,,,"Wittgenstein, Ludwig",Tractatus logico-philosophicus.,2nd edition,BC 135 W78 1972,BC,135,W78,TRUE,.W78,.W,#NAME?,78,#NAME?,1972,,,,,,,,,,,,,,,
L0112033709,BD 161 F81,46,,,,,,"Montgomery, Edward B.","The foundations of access to knowledge, a symposiu",,BD 161 F81,BD,161,F81,TRUE,.F81,.F,#NAME?,81,#NAME?,,,,,,,,,,,,,,,,
L0112033717,BD 161 K32n,47,,,,,,"Kemp, D.A.",The nature of knowledge,,BD 161 K32n,BD,161,K32n,TRUE,.K32n,.K,#NAME?,32,#NAME?,,,,,,,,,,,,,,,,
L0112033725,BD 161 K76,48,,,,,,"Batty, David",Knowledge of organization - Student Contrib. Serie,,BD 161 K76,BD,161,K76,TRUE,.K76,.K,#NAME?,76,#NAME?,,,,,,,,,,,,,,,,
